Experiment,Replication,A,B,C,AvgQueueOnArrival,AvgPrepQueue,AvgWaitTime,PrepUtil,TheatreUtil,RecoveryUtil,BlockingProb,RecoveryFullProb
Exp3_-+-,6,-1,1,-1,0.4750,0.6687,13.4602,0.8625,1.0000,0.4406,0.008227,0.0500
Exp3_-+-,7,-1,1,-1,0.7500,0.7312,14.1261,0.5925,0.8438,0.5484,0.031573,0.1062
Exp3_-+-,8,-1,1,-1,0.0000,0.0000,0.0000,0.3575,0.5687,0.2797,0.000000,0.0187
Exp3_-+-,9,-1,1,-1,1.4359,1.4812,29.6704,0.8712,0.9437,0.6266,0.100734,0.3000
Exp3_-+-,10,-1,1,-1,1.2439,1.3750,26.2543,0.8400,0.9313,0.4953,0.000980,0.0938
Exp3_-+-,11,-1,1,-1,0.0857,0.0938,2.2111,0.6025,0.8562,0.3641,0.035267,0.0750
Exp3_-+-,12,-1,1,-1,10.7609,11.4187,207.4750,0.9988,1.0000,0.3609,0.064328,0.1562
Exp3_-+-,13,-1,1,-1,0.0000,0.0000,0.0000,0.3675,0.7250,0.2562,0.000000,0.0000
Exp3_-+-,14,-1,1,-1,0.0000,0.0000,0.0000,0.5325,0.8187,0.3266,0.007633,0.0125
Exp3_-+-,15,-1,1,-1,0.1818,0.2750,6.6875,0.6338,0.9062,0.4688,0.052194,0.1375
Exp3_-+-,16,-1,1,-1,0.4138,0.5312,14.6680,0.6950,0.9000,0.4000,0.004377,0.0437
Exp3_-+-,17,-1,1,-1,0.4242,0.5563,12.5691,0.7762,0.9313,0.3969,0.000000,0.0063
Exp3_-+-,18,-1,1,-1,2.8846,2.8750,77.9450,0.8375,0.9625,0.5203,0.087740,0.2062
Exp3_-+-,19,-1,1,-1,1.0833,1.3875,30.0015,0.9450,0.9625,0.5281,0.029960,0.1625
Exp4_++-,0,1,1,-1,0.2258,0.4125,10.0771,0.6538,0.7875,0.4125,0.025654,0.0938
Exp4_++-,1,1,1,-1,0.0000,0.0187,0.4679,0.4825,0.7937,0.3250,0.000000,0.0312
Exp4_++-,2,1,1,-1,0.5000,0.5875,13.2277,0.7963,0.9625,0.3937,0.012320,0.0875
Exp4_++-,3,1,1,-1,0.9722,0.6813,12.6874,0.5350,0.7625,0.3781,0.000000,0.0312
Exp4_++-,4,1,1,-1,0.0000,0.0125,0.4137,0.3875,0.4250,0.3500,0.008087,0.0437
Exp4_++-,5,1,1,-1,1.1053,1.2500,26.2695,0.7750,0.9187,0.5203,0.036582,0.1500
Exp4_++-,6,1,1,-1,0.0000,0.0000,0.0000,0.3325,0.5375,0.3063,0.000000,0.0000
Exp4_++-,7,1,1,-1,0.3243,0.2812,5.7741,0.4600,0.5125,0.3625,0.000000,0.0250
Exp4_++-,8,1,1,-1,2.1667,2.5688,38.0002,0.8163,0.9375,0.5469,0.143348,0.2250
Exp4_++-,9,1,1,-1,0.6765,0.6562,15.2539,0.7538,0.8625,0.4828,0.105301,0.2313
Exp4_++-,10,1,1,-1,1.5000,1.7437,41.0786,0.8113,0.9313,0.4344,0.019706,0.0625
Exp4_++-,11,1,1,-1,0.0000,0.0000,0.0000,0.3175,0.6000,0.1984,0.000000,0.0000
Exp4_++-,12,1,1,-1,3.2727,2.6375,39.6264,0.8700,0.9187,0.3688,0.000000,0.0063
Exp4_++-,13,1,1,-1,0.7000,1.1938,23.9752,0.8525,0.9125,0.4875,0.023445,0.1437
Exp4_++-,14,1,1,-1,7.1923,7.4125,113.1822,1.0000,1.0000,0.5203,0.008261,0.0813
Exp4_++-,15,1,1,-1,0.0000,0.0000,0.0000,0.3125,0.5687,0.3656,0.000333,0.0375
Exp4_++-,16,1,1,-1,4.8409,5.0625,70.8167,0.7475,0.8500,0.3625,0.000000,0.0250
Exp4_++-,17,1,1,-1,0.0294,0.0750,1.7743,0.6162,0.8375,0.4094,0.000000,0.0563
Exp4_++-,18,1,1,-1,0.0000,0.0000,0.0000,0.2737,0.5312,0.3141,0.000000,0.0312
Exp4_++-,19,1,1,-1,3.2424,3.5500,81.7935,1.0000,0.9875,0.4078,0.021851,0.1062
Exp5_--+,0,-1,-1,1,1.4359,0.6875,4.3050,0.5031,0.7937,0.3163,0.000000,0.0000
Exp5_--+,1,-1,-1,1,0.5172,0.6062,17.3577,0.6641,0.8625,0.3400,0.000000,0.0187
Exp5_--+,2,-1,-1,1,0.4412,0.2625,6.5523,0.5344,0.6125,0.1825,0.000000,0.0063
Exp5_--+,3,-1,-1,1,2.6500,2.7375,59.0076,0.8453,0.9187,0.3850,0.000000,0.0312
Exp5_--+,4,-1,-1,1,0.2593,0.1938,4.9303,0.4000,0.5062,0.2400,0.000000,0.0000
Exp5_--+,5,-1,-1,1,0.1600,0.2875,8.9309,0.5859,0.8187,0.2137,0.000000,0.0250
Exp5_--+,6,-1,-1,1,0.0000,0.0813,3.0077,0.5906,0.7125,0.2850,0.000000,0.0000
Exp5_--+,7,-1,-1,1,1.9500,2.1875,43.3522,0.8484,0.8688,0.3650,0.000000,0.0125
Exp5_--+,8,-1,-1,1,5.0488,6.2000,97.4303,0.9328,0.9688,0.2825,0.000000,0.0000
Exp5_--+,9,-1,-1,1,0.1778,0.1938,3.0670,0.6813,0.7438,0.2938,0.000000,0.0563
Exp5_--+,10,-1,-1,1,0.7576,0.7875,18.9576,0.7141,0.8000,0.2812,0.000000,0.0000
Exp5_--+,11,-1,-1,1,0.4878,0.4688,9.5673,0.7578,0.7063,0.2975,0.011723,0.0250
Exp5_--+,12,-1,-1,1,0.0000,0.0125,0.4611,0.3625,0.4375,0.1938,0.000000,0.0000
Exp5_--+,13,-1,-1,1,1.4643,1.4000,40.0886,0.7094,0.8375,0.3000,0.000000,0.0000
Exp5_--+,14,-1,-1,1,0.4000,0.6062,14.2583,0.7109,0.7000,0.1625,0.006645,0.0125
Exp5_--+,15,-1,-1,1,3.3889,3.9000,86.8931,0.8984,0.7875,0.3625,0.000000,0.0250
Exp5_--+,16,-1,-1,1,1.0333,1.2375,31.1620,0.9391,0.9875,0.4037,0.026916,0.0813
Exp5_--+,17,-1,-1,1,1.6765,2.1437,33.7199,0.8141,0.7688,0.1963,0.000000,0.0000
Exp5_--+,18,-1,-1,1,0.1333,0.0750,1.9918,0.4203,0.4188,0.2850,0.000000,0.0000
Exp5_--+,19,-1,-1,1,0.0500,0.1562,2.7939,0.6734,0.6750,0.3700,0.000000,0.0063
Exp6_+-+,0,1,-1,1,3.1765,3.0000,69.0022,0.8297,0.8938,0.5875,0.025556,0.1500
Exp6_+-+,1,1,-1,1,0.1429,0.2062,4.9904,0.6656,0.7188,0.3675,0.000000,0.0063
